Company Name,Industry,Symbol,Series,ISIN Code,Exchange
Authum Investment & Infrastructure Limited,Financial Services,AIIL,EQ,INE206F01022,NSE
Airan Limited,,AIRAN,EQ,INE645W01026,NSE
Airo Lam limited,,AIROLAM,EQ,INE801L01010,NSE
Ajanta Pharma Limited,Healthcare,AJANTPHARM,EQ,INE031B01049,NSE
Ajax Engineering Limited,,AJAXENGG,EQ,INE274Y01021,NSE
Ajmera Realty & Infra India Limited,,AJMERA,EQ,INE298G01035,NSE
Ajooni Biotech Limited,,AJOONI,EQ,INE820Y01021,NSE
Akash Infra-Projects Limited,,AKASH,EQ,INE737W01013,NSE
AK Capital Services Limited,,AKCAPIT,EQ,INE701G01012,NSE
Akg Exim Limited,,AKG,EQ,INE00Y801016,NSE
AKI India Limited,,AKI,EQ,INE642Z01026,NSE
Akshar Spintex Limited,,AKSHAR,EQ,INE256Z01025,NSE
Akums Drugs and Pharmaceuticals Limited,,AKUMS,EQ,INE09XN01023,NSE
Alankit Limited,,ALANKIT,EQ,INE914E01040,NSE
Albert David Limited,,ALBERTDAVD,EQ,INE155C01010,NSE
Alembic Limited,,ALEMBICLTD,EQ,INE426A01027,NSE
Algoquant Fintech Limited,,ALGOQUANT,EQ,INE598D01035,NSE
Alicon Castalloy Limited,,ALICON,EQ,INE062D01024,NSE
Alivus Life Sciences Limited,,ALIVUS,EQ,INE03Q201024,NSE
Alkem Laboratories Limited,Healthcare,ALKEM,EQ,INE540L01014,NSE
Alkyl Amines Chemicals Limited,,ALKYLAMINE,EQ,INE150B01039,NSE
Allcargo Logistics Limited,,ALLCARGO,EQ,INE418H01029,NSE
Alldigi Tech Limited,,ALLDIGI,EQ,INE835G01018,NSE
All Time Plastics Limited,,ALLTIME,EQ,INE0GV601021,NSE
Almondz Global Securities Limited,,ALMONDZ,EQ,INE326B01035,NSE
Alok Industries Limited,,ALOKINDS,EQ,INE270A01029,NSE
Alpa Laboratories Limited,,ALPA,EQ,INE385I01010,NSE
Alphageo (India) Limited,,ALPHAGEO,EQ,INE137C01018,NSE
Alpine Texworld Limited,,ALPINETEX,EQ,INE1JCQ01037,NSE
Amagi Media Labs Limited,,AMAGI,EQ,INE121R01077,NSE
Ambalal Sarabhai Enterprises Limited,,AMBALALSA,EQ,INE432A01017,NSE
Amber Enterprises India Limited,Consumer Durables,AMBER,EQ,INE371P01015,NSE
Ambica Agarbathies & Aroma industries Limited,,AMBICAAGAR,EQ,INE792B01012,NSE
Ambika Cotton Mills Limited,,AMBIKCO,EQ,INE540G01014,NSE
Ambuja Cements Limited,Construction Materials,AMBUJACEM,EQ,INE079A01024,NSE
AMD Industries Limited,,AMDIND,EQ,INE005I01014,NSE
Amj Land Holdings Limited,,AMJLAND,EQ,INE606A01024,NSE
Amines & Plasticizers Limited,,AMNPLST,EQ,INE275D01022,NSE
Amrutanjan Health Care Limited,,AMRUTANJAN,EQ,INE098F01031,NSE
Anand Rathi Wealth Limited,Financial Services,ANANDRATHI,EQ,INE463V01026,NSE
Anant Raj Limited,Realty,ANANTRAJ,EQ,INE242C01024,NSE
ANDHRA PAPER LIMITED,,ANDHRAPAP,EQ,INE435A01051,NSE
The Andhra Sugars Limited,,ANDHRSUGAR,EQ,INE715B01021,NSE
Angel One Limited,Financial Services,ANGELONE,EQ,INE732I01021,NSE
Anik Industries Limited,,ANIKINDS,EQ,INE087B01017,NSE
Anmol India Limited,,ANMOL,EQ,INE02AR01019,NSE
Annapurna Swadisht Limited,,ANNAPURNA,EQ,INE0MGM01017,NSE
Antelopus Selan Energy Limited,,ANTELOPUS,EQ,INE818A01017,NSE
Antarctica Limited,,ANTGRAPHIC,EQ,INE414B01021,NSE
Anthem Biosciences Limited,Healthcare,ANTHEM,EQ,INE0CZ201020,NSE
Anuh Pharma Limited,,ANUHPHR,EQ,INE489G01022,NSE
The Anup Engineering Limited,,ANUP,EQ,INE294Z01018,NSE
Anupam Rasayan India Limited,Chemicals,ANURAS,EQ,INE930P01018,NSE
Apar Industries Limited,Capital Goods,APARINDS,EQ,INE372A01015,NSE
Anjani Portland Cement Limited,,APCL,EQ,INE071F01012,NSE
Apcotex Industries Limited,,APCOTEXIND,EQ,INE116A01032,NSE
Apex Frozen Foods Limited,,APEX,EQ,INE346W01013,NSE
APL Apollo Tubes Limited,Capital Goods,APLAPOLLO,EQ,INE702C01027,NSE
Alembic Pharmaceuticals Limited,,APLLTD,EQ,INE901L01018,NSE
Apollo Micro Systems Limited,,APOLLO,EQ,INE713T01028,NSE
Apollo Hospitals Enterprise Limited,Healthcare,APOLLOHOSP,EQ,INE437A01024,NSE
Apollo Pipes Limited,,APOLLOPIPE,EQ,INE126J01016,NSE
Apollo Tyres Limited,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,NSE
Apollo Sindoori Hotels Limited,,APOLSINHOT,EQ,INE451F01024,NSE
Aptus Value Housing Finance India Limited,Financial Services,APTUS,EQ,INE852O01025,NSE
Aqylon Nexus Limited,,AQYLON,EQ,INE416A01051,NSE
Archidply Industries Limited,,ARCHIDPLY,EQ,INE877I01016,NSE
Archies Limited,,ARCHIES,EQ,INE731A01020,NSE
Ardee Industries Limited,,ARDEE,EQ,INE0XNF01022,NSE
Amara Raja Energy & Mobility Limited,Automobile and Auto Components,ARE&M,EQ,INE885A01032,NSE
Rajdarshan Industries Limited,,ARENTERP,EQ,INE610C01014,NSE
Arfin India Limited,,ARFIN,EQ,INE784R01023,NSE
Aries Agro Limited,,ARIES,EQ,INE298I01015,NSE
Arihant Foundations & Housing Limited,,ARIHANT,EQ,INE413D01011,NSE
Arihant Capital Markets Limited,,ARIHANTCAP,EQ,INE420B01036,NSE
Arihant Superstructures Limited,,ARIHANTSUP,EQ,INE643K01018,NSE
Arisinfra Solutions Limited,,ARIS,EQ,INE0H9P01028,NSE
Arkade Developers Limited,,ARKADE,EQ,INE0QRL01017,NSE
Arman Financial Services Limited,,ARMANFIN,EQ,INE109C01017,NSE
Aro Granite Industries Limited,,AROGRANITE,EQ,INE210C01013,NSE
Anand Rathi Share and Stock Brokers Limited,,ARSSBL,EQ,INE549H01021,NSE
Artemis Medicare Services Limited,,ARTEMISMED,EQ,INE025R01021,NSE
Art Nirman Limited,,ARTNIRMAN,EQ,INE738V01013,NSE
Arvee Laboratories (India) Limited,,ARVEE,EQ,INE006Z01016,NSE
Arvind Limited,,ARVIND,EQ,INE034A01011,NSE
Arvind Fashions Limited,,ARVINDFASN,EQ,INE955V01021,NSE
Arvind SmartSpaces Limited,,ARVSMART,EQ,INE034S01021,NSE
Asahi India Glass Limited,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,NSE
Automotive Stampings and Assemblies Limited,,ASAL,EQ,INE900C01027,NSE
Associated Alcohols & Breweries Ltd.,,ASALCBR,EQ,INE073G01016,NSE
Ashapura Minechem Limited,,ASHAPURMIN,EQ,INE348A01023,NSE
Ashiana Housing Limited,,ASHIANA,EQ,INE365D01021,NSE
Ashima Limited,,ASHIMASYN,EQ,INE440A01010,NSE
Ashoka Buildcon Limited,,ASHOKA,EQ,INE442H01029,NSE
Ashoka Metcast Limited,,ASHOKAMET,EQ,INE760Y01011,NSE
Ashok Leyland Limited,Capital Goods,ASHOKLEY,EQ,INE208A01029,NSE
Asian Energy Services Limited,,ASIANENE,EQ,INE276G01015,NSE
Asian Hotels (North) Limited,,ASIANHOTNR,EQ,INE363A01022,NSE
Asian Paints Limited,Consumer Durables,ASIANPAINT,EQ,INE021A01026,NSE
Asian Granito India Limited,,ASIANTILES,EQ,INE022I01019,NSE
ASK Automotive Limited,,ASKAUTOLTD,EQ,INE491J01022,NSE
Aspinwall and Company Limited,,ASPINWALL,EQ,INE991I01015,NSE
Asian Star Company Limited,,ASTAR,EQ,INE194D01017,NSE
Astec LifeSciences Limited,,ASTEC,EQ,INE563J01010,NSE
Aster DM Quality Care Limited,Healthcare,ASTERDM,EQ,INE914M01019,NSE
Astral Limited,Capital Goods,ASTRAL,EQ,INE006I01046,NSE
Astra Microwave Products Limited,,ASTRAMICRO,EQ,INE386C01029,NSE
AstraZeneca Pharma India Limited,,ASTRAZEN,EQ,INE203A01020,NSE
Atal Realtech Limited,,ATALREAL,EQ,INE0ALR01029,NSE
Atam Valves Limited,,ATAM,EQ,INE09KD01013,NSE
Adani Total Gas Limited,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,NSE
Ather Energy Limited,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016,NSE
Allcargo Terminals Limited,,ATL,EQ,INE0NN701020,NSE
ATLANTAA LIMITED,,ATLANTAA,EQ,INE285H01022,NSE
Atlanta Electricals Limited,,ATLANTAELE,EQ,INE0Z4F01028,NSE
Atlas Cycles (Haryana) Limited,,ATLASCYCLE,EQ,INE446A01025,NSE
Atul Limited,Chemicals,ATUL,EQ,INE100A01010,NSE
Atul Auto Limited,,ATULAUTO,EQ,INE951D01028,NSE
AU Small Finance Bank Limited,Financial Services,AUBANK,EQ,INE949L01017,NSE
Aurionpro Solutions Limited,,AURIONPRO,EQ,INE132H01018,NSE
Aurobindo Pharma Limited,Healthcare,AUROPHARMA,EQ,INE406A01037,NSE
Aurum PropTech Limited,,AURUM,EQ,INE898S01029,NSE
AURUS GEM CORPORATION LIMITED,,AURUS,EQ,INE142K01011,NSE
Ausom Enterprise Limited,,AUSOMENT,EQ,INE218C01016,NSE
Automotive Axles Limited,,AUTOAXLES,EQ,INE449A01011,NSE
Avadh Sugar & Energy Limited,,AVADHSUGAR,EQ,INE349W01017,NSE
Avalon Technologies Limited,,AVALON,EQ,INE0LCL01028,NSE
Avantel Limited,,AVANTEL,EQ,INE005B01027,NSE
Avanti Feeds Limited,,AVANTIFEED,EQ,INE871C01038,NSE
Aditya Vision Limited,,AVL,EQ,INE679V01027,NSE
Avonmore Capital & Management Services Limited,,AVONMORE,EQ,INE323B01024,NSE
AVRO INDIA LIMITED,,AVROIND,EQ,INE652Z01025,NSE
AVT Natural Products Limited,,AVTNPL,EQ,INE488D01021,NSE
Awfis Space Solutions Limited,,AWFIS,EQ,INE108V01019,NSE
Antony Waste Handling Cell Limited,,AWHCL,EQ,INE01BK01022,NSE
AWL Agri Business Limited,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,NSE
Axis Bank Limited,Financial Services,AXISBANK,EQ,INE238A01034,NSE
AXISCADES Technologies Limited,,AXISCADES,EQ,INE555B01013,NSE
Axita Cotton Limited,,AXITA,EQ,INE02EZ01022,NSE
Aye Finance Limited,,AYE,EQ,INE501X01029,NSE
AYM Syntex Limited,,AYMSYNTEX,EQ,INE193B01039,NSE
Azad Engineering Limited,,AZAD,EQ,INE02IJ01035,NSE
B.A.G Films and Media Limited,,BAGFILMS,EQ,INE116D01028,NSE
Baid Finserv Limited,,BAIDFIN,EQ,INE020D01022,NSE
Bajaj Auto Limited,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,NSE
Bajaj Consumer Care Limited,,BAJAJCON,EQ,INE933K01021,NSE
Bajaj Electricals Limited,,BAJAJELEC,EQ,INE193E01025,NSE
Bajaj Finserv Limited,Financial Services,BAJAJFINSV,EQ,INE918I01026,NSE
Bajaj Healthcare Limited,,BAJAJHCARE,EQ,INE411U01027,NSE
Bajaj Housing Finance Limited,Financial Services,BAJAJHFL,EQ,INE377Y01014,NSE
Bajaj Hindusthan Sugar Limited,,BAJAJHIND,EQ,INE306A01021,NSE
Bajaj Holdings & Investment Limited,Financial Services,BAJAJHLDNG,EQ,INE118A01012,NSE
Indef Manufacturing Limited,,BAJAJINDEF,EQ,INE0O9T01021,NSE
Bajaj Steel Industries Limited,,BAJAJST,EQ,INE704G01024,NSE
Bajel Projects Limited,,BAJEL,EQ,INE0KQN01018,NSE
Bajaj Finance Limited,Financial Services,BAJFINANCE,EQ,INE296A01032,NSE
Shree Tirupati Balajee Agro Trading Company Limited,,BALAJEE,EQ,INE0S2G01011,NSE
Balaji Telefilms Limited,,BALAJITELE,EQ,INE794B01026,NSE
Balaji Amines Limited,,BALAMINES,EQ,INE050E01027,NSE
BALAXI PHARMACEUTICALS LIMITED,,BALAXI,EQ,INE618N01022,NSE
Balkrishna Paper Mills Limited,,BALKRISHNA,EQ,INE875R01011,NSE
Balkrishna Industries Limited,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,NSE
Balmer Lawrie & Company Limited,,BALMLAWRIE,EQ,INE164A01016,NSE
Bal Pharma Limited,,BALPHARMA,EQ,INE083D01012,NSE
Balrampur Chini Mills Limited,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,NSE
Balu Forge Industries Limited,,BALUFORGE,EQ,INE011E01029,NSE
Banaras Beads Limited,,BANARBEADS,EQ,INE655B01011,NSE
Bannari Amman Sugars Limited,,BANARISUG,EQ,INE459A01010,NSE
Banco Products (I) Limited,,BANCOINDIA,EQ,INE213C01025,NSE
Bandhan Bank Limited,Financial Services,BANDHANBNK,EQ,INE545U01014,NSE
Bang Overseas Limited,,BANG,EQ,INE863I01016,NSE
Banka BioLoo Limited,,BANKA,EQ,INE862Y01015,NSE
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,NSE
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,NSE
Bansal Wire Industries Limited,,BANSALWIRE,EQ,INE0B9K01025,NSE
Banswara Syntex Limited,,BANSWRAS,EQ,INE629D01020,NSE
BASF India Limited,,BASF,EQ,INE373A01013,NSE
Bata India Limited,Consumer Durables,BATAINDIA,EQ,INE176A01028,NSE
Batliboi Limited,,BATLIBOI,EQ,INE177C01022,NSE
Bayer Cropscience Limited,Chemicals,BAYERCROP,EQ,INE462A01022,NSE
Bharat Bijlee Limited,,BBL,EQ,INE464A01036,NSE
Black Box Limited,,BBOX,EQ,INE676A01027,NSE
The Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,NSE
B&B Triplewall Containers Limited,,BBTCL,EQ,INE01EE01011,NSE
Brightcom Group Limited,,BCG,EQ,INE425B01027,NSE
Bcl Industries Limited,,BCLIND,EQ,INE412G01024,NSE
Brand Concepts Limited,,BCONCEPTS,EQ,INE977Y01011,NSE
BCPL Railway Infrastructure Limited,,BCPL,EQ,INE00SW01015,NSE
Bharat Dynamics Limited,Capital Goods,BDL,EQ,INE171Z01026,NSE
Beardsell Limited,,BEARDSELL,EQ,INE520H01022,NSE
Mrs. Bectors Food Specialities Limited,,BECTORFOOD,EQ,INE495P01020,NSE
Bedmutha Industries Limited,,BEDMUTHA,EQ,INE844K01012,NSE
Beekay Steel Industries Limited,,BEEKAY,EQ,INE213D01015,NSE
Bharat Electronics Limited,Capital Goods,BEL,EQ,INE263A01024,NSE
Bella Casa Fashion & Retail Limited,,BELLACASA,EQ,INE344T01014,NSE
Belrise Industries Limited,Automobile and Auto Components,BELRISE,EQ,INE894V01022,NSE
BEML Limited,Capital Goods,BEML,EQ,INE258A01024,NSE
Bengal & Assam Company Limited,,BENGALASM,EQ,INE083K01017,NSE
Bhansali Engineering Polymers Limited,,BEPL,EQ,INE922A01025,NSE
Berger Paints (I) Limited,Consumer Durables,BERGEPAINT,EQ,INE463A01038,NSE
Best Agrolife Limited,,BESTAGRO,EQ,INE052T01021,NSE
Beta Drugs Limited,,BETA,EQ,INE351Y01019,NSE
BF Investment Limited,,BFINVEST,EQ,INE878K01010,NSE
BF Utilities Limited,,BFUTILITIE,EQ,INE243D01012,NSE
Bhagiradha Chemicals & Industries Limited,,BHAGCHEM,EQ,INE414D01027,NSE
Bhagyanagar India Limited,,BHAGYANGR,EQ,INE458B01036,NSE
Bharat Coking Coal Limited,,BHARATCOAL,EQ,INE05XR01022,NSE
Bharat Forge Limited,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,NSE
Bharat Rasayan Limited,,BHARATRAS,EQ,INE838B01021,NSE
Bharat Seats Limited,,BHARATSE,EQ,INE415D01024,NSE
Bharat Wire Ropes Limited,,BHARATWIRE,EQ,INE316L01019,NSE
Bharti Airtel Limited,Telecommunication,BHARTIARTL,EQ,INE397D01024,NSE
Bharti Hexacom Limited,Telecommunication,BHARTIHEXA,EQ,INE343G01021,NSE
Bharat Heavy Electricals Limited,Capital Goods,BHEL,EQ,INE257A01026,NSE
Bilcare Limited,,BI,EQ,INE986A01012,NSE
Bigbloc Construction Limited,,BIGBLOC,EQ,INE412U01025,NSE
Bikaji Foods International Limited,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,NSE
Bhartiya International Limited,,BIL,EQ,INE828A01016,NSE
Bimetal Bearings Limited,,BIMETAL,EQ,INE469A01019,NSE
Biocon Limited,Healthcare,BIOCON,EQ,INE376G01013,NSE
Biofil Chemicals & Pharmaceuticals Limited,,BIOFILCHEM,EQ,INE829A01014,NSE
Birla Corporation Limited,,BIRLACORPN,EQ,INE340A01012,NSE
Aditya Birla Money Limited,,BIRLAMONEY,EQ,INE865C01022,NSE
BirlaNu Limited,,BIRLANU,EQ,INE557A01011,NSE
Birla Precision Technologies Limited,,BIRLAPREC,EQ,INE372E01025,NSE
BLACKBUCK LIMITED,,BLACKBUCK,EQ,INE0UIZ01018,NSE
BEML Land Assets Limited,,BLAL,EQ,INE0N7W01012,NSE
BLB Limited,,BLBLIMITED,EQ,INE791A01024,NSE
Balmer Lawrie Investments Limited,,BLIL,EQ,INE525F01025,NSE
B. L. Kashyap and Sons Limited,,BLKASHYAP,EQ,INE350H01032,NSE
BLS International Services Limited,Consumer Services,BLS,EQ,INE153T01027,NSE
BLS E-Services Limited,,BLSE,EQ,INE0NLT01010,NSE
Blue Chip India Limited,,BLUECHIP,EQ,INE657B01025,NSE
Blue Dart Express Limited,Services,BLUEDART,EQ,INE233B01017,NSE
Blue Jet Healthcare Limited,Healthcare,BLUEJET,EQ,INE0KBH01020,NSE
Blue Star Limited,Consumer Durables,BLUESTARCO,EQ,INE472A01039,NSE
BlueStone Jewellery and Lifestyle Limited,,BLUESTONE,EQ,INE304W01038,NSE
Bluspring Enterprises Limited,,BLUSPRING,EQ,INE0U4101014,NSE
BMW Ventures Limited,,BMWVENTLTD,EQ,INE965W01036,NSE
BN Agrochem Limited,,BNAGROCHEM,EQ,INE00HZ01011,NSE
Bohra Industries Limited,,BOHRAIND,EQ,INE802W01023,NSE
Bombay Dyeing & Mfg Company Limited,,BOMDYEING,EQ,INE032A01023,NSE
Bonlon Industries Limited,,BONLON,EQ,INE0B9A01018,NSE
Borana Weaves Limited,,BORANA,EQ,INE16SF01016,NSE
Borosil Limited,,BOROLTD,EQ,INE02PY01013,NSE
BOROSIL RENEWABLES LIMITED,,BORORENEW,EQ,INE666D01022,NSE
Borosil Scientific Limited,,BOROSCI,EQ,INE02L001032,NSE
BOSCH HOME COMFORT INDIA LIMITED,,BOSCH-HCIL,EQ,INE782A01015,NSE
Bosch Limited,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,NSE
Bharat Petroleum Corporation Limited,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,NSE
BPL Limited,,BPL,EQ,INE110A01019,NSE
Brigade Enterprises Limited,Realty,BRIGADE,EQ,INE791I01019,NSE
Brigade Hotel Ventures Limited,,BRIGHOTEL,EQ,INE03NU01014,NSE
Britannia Industries Limited,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,NSE
Bharat Road Network Limited,,BRNL,EQ,INE727S01012,NSE
BSE Limited,Financial Services,BSE,EQ,INE118H01025,NSE
BSL Limited,,BSL,EQ,INE594B01012,NSE
BIRLASOFT LIMITED,Information Technology,BSOFT,EQ,INE836A01035,NSE
Bodhi Tree Multimedia Limited,,BTML,EQ,INE0EEJ01023,NSE
Shankara Buildpro Limited,,BUILDPRO,EQ,INE24OJ01011,NSE
Butterfly Gandhimathi Appliances Limited,,BUTTERFLY,EQ,INE295F01017,NSE
Barak Valley Cements Limited,,BVCL,EQ,INE139I01011,NSE
Camlin Fine Sciences Limited,,CAMLINFINE,EQ,INE052I01032,NSE
Campus Activewear Limited,,CAMPUS,EQ,INE278Y01022,NSE
Computer Age Management Services Limited,Financial Services,CAMS,EQ,INE596I01020,NSE
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,NSE
Can Fin Homes Limited,Financial Services,CANFINHOME,EQ,INE477A01020,NSE
Canara HSBC Life Insurance Company Limited,Financial Services,CANHLIFE,EQ,INE01TY01017,NSE
Cantabil Retail India Limited,,CANTABIL,EQ,INE068L01024,NSE
Capacit'e Infraprojects Limited,,CAPACITE,EQ,INE264T01014,NSE
Capillary Technologies India Limited,,CAPILLARY,EQ,INE0ILV01024,NSE
Capital Small Finance Bank Limited,,CAPITALSFB,EQ,INE646H01017,NSE
Caplin Point Laboratories Limited,Healthcare,CAPLIPOINT,EQ,INE475E01026,NSE
Carborundum Universal Limited,Capital Goods,CARBORUNIV,EQ,INE120A01034,NSE
CARE Ratings Limited,,CARERATING,EQ,INE752H01013,NSE
Carraro India Limited,,CARRARO,EQ,INE0V7W01012,NSE
Cartrade Tech Limited,Consumer Services,CARTRADE,EQ,INE290S01011,NSE
CARYSIL LIMITED,,CARYSIL,EQ,INE482D01024,NSE
Castrol India Limited,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,NSE
AvenuesAI Limited,,CCAVENUE,EQ,INE483S01020,NSE
Consolidated Construction Consortium Limited,,CCCL,EQ,INE429I01024,NSE
